CASE_ID;Региональный_филиал;Населенный_пункт;Код_открытия_обращения;Код_закрытия_обращения;Технология;Услуга;Количество_операций_в_выполнении_процесса;Общее_время_выполнения_процесса
482846498##8911330;Карельский филиал ОАО «ххх»;ЛЯСКЕЛЯ;01. Отсутствует синхронизация;Абонентский наружный ввод;xDSL;ШПД;8;109:23:07
482846499##8911338;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Отказ от заявки/вызова;PON;SIP;8;108:49:07
482846500##8911339;Калининградский филиал ОАО «ххх»;СЛАВИНСК;01. Отсутствует синхронизация;Замена пар в распределении;xDSL;ШПД;6;112:40:23
482846501##8911363;Петербургский филиал ОАО «ххх» Ленинградская обл.;ЛУГА;Нет соединения от абонента / к абоненту;Кабельные оконечные устройства (КРТ, КЯ);Медная пара;ОТА;4;111:23:41
482846502##8911366;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Муфта магистрального кабеля;xDSL;ШПД;8;133:37:00
482846503##8911377;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Замена CPE;xDSL;ШПД;16;113:02:16
482846504##8911378;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Распределительная коробка;Медная пара;ОТА;12;115:31:44
482846505##8911383;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Муфта магистрального кабеля;Медная пара;ОТА;6;109:05:03
482846506##8911389;Новгородский филиал ОАО «ххх»;ДЕМЯНСК;01. Отсутствует синхронизация;Замена пар в распределении;xDSL;ШПД;6;106:53:26
482846507##8911397;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;КРОНШТАДТ;08. Не отображаются стр., есть синхр.;Настройка CPE;DOCSIS;ШПД;8;114:06:45
482846508##8911398;Петербургский филиал ОАО «ххх» Ленинградская обл.;ПРИОЗЕРСК;Отсутствие на всех каналах;Замена блока питания STB;PON;IP-TV;9;109:36:19
482846509##8911412;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Оптическое волокно в квартире;PON;ШПД;14;139:33:40
482846510##8911416;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Замена CPE;DOCSIS;ШПД;16;112:24:26
